11.25,10.63,10.38,10.63,10.75,10.88,11.13,10.88,10.50,10.50,10.50,11.13,11.25,11.38,12.25,13.38,14.88,16.63,18.88,19.75,19.63,19.75,20.63,21.00,22.00,21.75,21.88,21.38,21.00,21.50,21.00,21.63,20.38,19.75,18.25,17.38,16.88,15.63,13.75,13.25,13.75,13.38,13.00,12.63,12.63,12.50,12.50,12.38
11.75,11.13,10.63,10.25,9.88,10.25,10.63,10.88,10.88,10.75,10.75,10.75,11.13,10.50,11.50,12.25,14.00,16.00,18.63,18.88,19.50,18.63,19.13,18.63,18.38,19.25,19.38,19.25,19.75,20.38,19.88,19.50,19.88,19.50,18.63,16.50,16.63,15.50,13.25,13.25,12.88,13.63,13.13,12.63,12.00,12.00,11.50,11.38
11.25,11.00,11.25,10.25,9.50,10.13,10.13,10.00,10.00,9.38,10.25,10.38,9.88,9.88,9.88,9.50,9.38,9.38,9.50,9.25,9.63,9.63,9.25,9.38,10.13,9.88,9.75,9.63,9.38,9.75,9.75,9.50,9.75,10.00,9.88,9.75,11.00,10.50,10.38,9.75,9.63,9.50,10.00,11.00,10.25,9.75,9.63,10.50
10.63,10.50,10.50,10.63,10.88,10.50,10.88,10.75,10.75,10.63,11.00,10.75,10.75,10.63,11.13,10.88,10.75,10.88,10.63,10.88,10.75,10.88,10.75,10.38,9.88,10.00,10.75,10.63,9.88,9.75,9.63,11.38,11.50,10.88,10.50,10.00,10.75,10.88,10.13,9.38,9.75,10.38,10.25,10.13,9.88,10.88,10.25,10.13
10.00,9.75,10.13,10.13,10.25,10.38,10.13,10.38,10.13,10.00,10.38,10.50,10.63,10.75,11.25,11.38,13.88,15.63,18.75,20.13,19.50,18.88,19.13,19.25,18.88,19.63,20.25,19.25,19.25,18.75,19.25,19.25,20.25,19.50,18.63,16.38,15.88,13.63,12.00,10.75,11.13,11.00,10.88,10.75,10.50,10.13,9.88,9.88
10.38,10.63,10.38,10.38,10.50,10.50,10.50,10.75,10.25,10.38,10.38,10.63,10.63,10.88,11.38,12.63,13.13,15.38,17.88,19.25,19.63,17.75,17.88,17.88,18.50,17.75,19.13,19.50,19.38,19.38,18.88,18.88,18.38,17.75,17.38,16.38,13.88,12.38,11.38,10.63,10.75,9.75,10.88,10.63,10.75,10.75,10.63,11.00
10.38,10.38,9.88,9.63,9.50,10.25,10.75,10.38,10.75,10.50,10.75,10.25,10.13,10.25,11.38,12.38,14.25,15.63,17.75,19.00,18.25,18.13,18.75,19.25,18.25,18.88,19.88,18.38,18.88,18.88,18.38,18.13,18.63,17.88,17.63,15.88,15.13,13.00,11.25,11.13,11.50,11.38,11.63,11.88,11.50,11.00,11.00,10.50
10.25,10.50,10.25,10.25,10.13,10.25,10.25,10.38,10.13,10.25,10.25,9.75,9.88,9.75,10.38,11.50,13.13,14.88,16.88,18.63,19.25,19.38,20.00,18.75,19.25,20.88,21.50,20.38,20.13,19.75,19.63,19.50,19.13,18.63,17.25,15.50,14.63,14.13,12.13,11.25,11.75,11.25,10.75,11.13,11.13,10.88,10.88,11.00
10.88,10.88,10.75,10.75,10.63,10.00,9.63,10.13,10.13,10.00,9.63,9.50,9.88,9.88,10.63,11.88,13.75,15.38,16.75,18.88,19.00,18.50,18.25,18.63,19.00,18.50,19.25,19.38,20.25,19.38,19.13,18.63,17.88,18.13,17.25,14.50,14.38,13.13,12.00,11.88,12.25,11.75,11.00,10.13,10.25,10.13,10.50,10.25
9.50,9.50,9.50,9.38,9.50,10.25,10.13,9.63,9.50,9.50,9.63,9.38,9.25,10.00,9.63,9.88,9.63,9.38,10.38,9.75,10.63,11.25,10.38,10.25,10.00,10.63,10.75,10.38,11.00,11.00,10.00,10.13,10.13,10.00,10.38,10.00,10.00,10.25,10.38,10.13,10.50,10.25,9.88,9.88,10.38,10.13,10.50,10.38
9.88,9.63,9.88,9.63,9.75,10.25,10.50,10.25,10.25,10.13,10.00,9.75,9.75,10.13,10.13,10.38,10.38,10.25,9.63,9.75,9.75,10.50,11.13,11.38,10.13,10.13,10.00,10.00,9.88,9.88,9.75,9.63,9.50,9.63,9.75,9.88,9.50,9.75,9.75,9.38,9.63,9.63,9.63,9.25,9.50,9.50,9.25,9.63
